tax:product_type,sku,post_title,post_status,visibility,tax_status,tax_class,stock_status,backorders,weight,length,width,height,regular_price,tax:product_cat,tax:product_shipping_class,parent_sku,upsell_skus,crosssell_skus,menu_order,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Data,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Data,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Data,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Data,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Data,Attribute 5 Global
variation,TT-16-PLATA-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,1520.00,,,TT-16-PLATA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-PLATA,Plata,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-17-AMRO-1-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,13500.00,,,TT-17-AMRO-1,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-17-AMRO-1-110ML,,publish,hidden,taxable,,outofstock,,0.31,,,,710.00,,,TT-17-AMRO-1,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-17-AMRO-1-25ML,,publish,hidden,taxable,,instock,,0.07,,,,205.00,,,TT-17-AMRO-1,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-17-AMRO-1-360ML,,publish,hidden,taxable,,outofstock,,1.02,,,,2135.00,,,TT-17-AMRO-1,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-17-AMRO-1,Amarillo - Rojo - 1,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Graduados en Escalas,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-17-AMRO-4-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,3590.00,,,TT-17-AMRO-4,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-17-AMRO-4-110ML,,publish,hidden,taxable,,outofstock,,0.31,,,,220.00,,,TT-17-AMRO-4,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-17-AMRO-4-25ML,,publish,hidden,taxable,,instock,,0.07,,,,130.00,,,TT-17-AMRO-4,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
